Handle,Brand,Title,Vendor,Product Type,Tags,Body (HTML),Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Compare At Price,Inventory Quantity,Variant Image,Featured Image,All Images,Published At,Product URL
tronian-omegatron,Tronian,Tronian Omegatron,Tronian,Hardware,Vaporizer,,Default,Default Title,,,,,tronian-omegatron,199.99,199.99,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_omegatron_tvape_gallery_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_omegatron_tvape_gallery_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_omegatron_tvape_gallery_1.jpg,2026-03-30T06:46:30.492305,https://thermodynesystems.com/wholesaler/us/vapes.html
zeus-ion,Zeus,Zeus Ion,Zeus,Hardware,Vaporizer,,Default,Default Title,,,,,zeus-ion,59.99,59.99,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/z/e/zeus_ion_510_battery_colors_with_tronpod_front_viewb.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/z/e/zeus_ion_510_battery_colors_with_tronpod_front_viewb.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/z/e/zeus_ion_510_battery_colors_with_tronpod_front_viewb.jpg,2026-03-30T06:46:30.492500,https://thermodynesystems.com/wholesaler/us/vapes.html
litl-sneaky-case-5-qty,Thermodyne Systems,"LITL Sneaky Case, 5 QTY",Thermodyne Systems,Hardware,Vaporizer,,Default,Default Title,,,,,litl-sneaky-case-5-qty,274.95,274.95,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/l/i/litl_sneaky_510_thread_right_view_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/l/i/litl_sneaky_510_thread_right_view_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/l/i/litl_sneaky_510_thread_right_view_1.jpg,2026-03-30T06:46:30.492679,https://thermodynesystems.com/wholesaler/us/vapes.html
tronian-rhotron-pro-case-25-qty-varied-colors,Tronian,"Tronian Rhotron Pro Case, 25 QTY (Varied Colors)",Tronian,Hardware,Vaporizer,,Default,Default Title,,,,,tronian-rhotron-pro-case-25-qty-varied-colors,1.0,1.0,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_pro_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_pro_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_pro_510_battery_colors_with_tronpod.jpg,2026-03-30T06:46:30.492851,https://thermodynesystems.com/wholesaler/us/vapes.html
pulsar-sipper,Thermodyne Systems,Pulsar Sipper,Thermodyne Systems,Hardware,Vaporizer,,Default,Default Title,,,,,pulsar-sipper,199.99,199.99,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_sipper_bubbler_cup_and_dry_cup_edition_2_.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_sipper_bubbler_cup_and_dry_cup_edition_2_.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_sipper_bubbler_cup_and_dry_cup_edition_2_.jpg,2026-03-30T06:46:30.493152,https://thermodynesystems.com/wholesaler/us/vapes.html
tronian-nutron-case-35-qty-varied-colors,Tronian,"Tronian Nutron Case, 35 QTY (Varied Colors)",Tronian,Hardware,Vaporizer,,Default,Default Title,,,,,tronian-nutron-case-35-qty-varied-colors,629.65,629.65,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_nutron_3_colors_tds.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_nutron_3_colors_tds.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_nutron_3_colors_tds.jpg,2026-03-30T06:46:30.493309,https://thermodynesystems.com/wholesaler/us/vapes.html
tronian-pitron-case-35-qty-varied-colors,Tronian,"Tronian Pitron Case, 35 QTY (Varied Colors)",Tronian,Hardware,Vaporizer,,Default,Default Title,,,,,tronian-pitron-case-35-qty-varied-colors,559.65,559.65,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_pitron_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_pitron_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_pitron_510_battery_colors_with_tronpod.jpg,2026-03-30T06:46:30.493465,https://thermodynesystems.com/wholesaler/us/vapes.html
tronian-rhotron-case-15-qty,Tronian,"Tronian Rhotron Case, 15 QTY",Tronian,Hardware,Vaporizer,,Default,Default Title,,,,,tronian-rhotron-case-15-qty,599.85,599.85,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_510_battery_colors_with_tronpod.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/t/r/tronian_rhotron_510_battery_colors_with_tronpod.jpg,2026-03-30T06:46:30.493620,https://thermodynesystems.com/wholesaler/us/vapes.html
pulsar-510-dl-pipe,Thermodyne Systems,Pulsar 510 DL Pipe,Thermodyne Systems,Hardware,Vaporizer,,Default,Default Title,,,,,pulsar-510-dl-pipe,39.99,39.99,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_pipe_cartridge_vape_side.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_pipe_cartridge_vape_side.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_pipe_cartridge_vape_side.jpg,2026-03-30T06:46:30.493765,https://thermodynesystems.com/wholesaler/us/vapes.html
pulsar-510-dl-20-pro,Thermodyne Systems,Pulsar 510 DL 2.0 Pro,Thermodyne Systems,Hardware,Vaporizer,,Default,Default Title,,,,,pulsar-510-dl-20-pro,26.99,26.99,10,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_2.0_pro_vape_bar_black_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_2.0_pro_vape_bar_black_1.jpg,https://thermodynesystems.com/wholesaler/us/pub/media/catalog/product/cache/eb9bfee0905bbd9a06d3d129ebf1e71b/p/u/pulsar_510_dl_2.0_pro_vape_bar_black_1.jpg,2026-03-30T06:46:30.493915,https://thermodynesystems.com/wholesaler/us/vapes.html
